n_total,scenario,delta_rho_mean,power_theta,power_005,n_reps
164,NON_TRANSPORTABLE_WEAK,0.0923,0.08,0.35,100
190,NON_TRANSPORTABLE_WEAK,0.0945,0.10,0.42,100
210,NON_TRANSPORTABLE_WEAK,0.0918,0.08,0.38,100
242,NON_TRANSPORTABLE_WEAK,0.0931,0.08,0.41,100
164,NON_TRANSPORTABLE_STRONG,0.2876,0.28,0.72,100
190,NON_TRANSPORTABLE_STRONG,0.2912,0.45,0.85,100
210,NON_TRANSPORTABLE_STRONG,0.2945,0.52,0.89,100
242,NON_TRANSPORTABLE_STRONG,0.2898,0.57,0.91,100
164,SAMPLE_ASYMMETRY,0.0008,0.0,0.0,100
190,SAMPLE_ASYMMETRY,0.0012,0.0,0.0,100
210,SAMPLE_ASYMMETRY,0.0005,0.0,0.0,100
242,SAMPLE_ASYMMETRY,0.0011,0.0,0.0,100
164,HIGH_DIM,0.0010,0.0,0.0,100
190,HIGH_DIM,0.0008,0.0,0.0,100
210,HIGH_DIM,0.0015,0.0,0.0,100
242,HIGH_DIM,0.0009,0.0,0.0,100
164,REALISTIC,0.0005,0.0,0.0,100
190,REALISTIC,0.0007,0.0,0.0,100
210,REALISTIC,0.0010,0.0,0.0,100
242,REALISTIC,0.0006,0.0,0.0,100
100,TRANSPORTABLE,0.0,1.0,1.0,100
100,NULL_IDENTICAL,0.0,0.0,0.05,100
