module,resolution,zPG,rho_obs,p_val,min_achievable_p,n_valid,p_fdr,significant_fdr,decision
Spermatogenesis,bulk,-0.15125729180963185,-0.35757575757575755,0.5054945054945055,0.041666666666666664,10,0.7221350078492936,False,NO_GO
Oxidative_Stress,bulk,0.40193664564298204,0.04242424242424241,0.33166833166833165,0.041666666666666664,10,0.6643356643356644,False,GRAY
Mitochondria_ETC,bulk,2.1622066343817723,0.7939393939393938,0.02097902097902098,0.041666666666666664,10,0.2097902097902098,False,GRAY
Protein_Homeostasis,bulk,-1.0215257299090408,-0.09090909090909088,0.8291708291708292,0.041666666666666664,10,0.8291708291708292,False,NO_GO
Inflammation_Immune,bulk,0.7806813938811418,0.5272727272727272,0.22277722277722278,0.041666666666666664,10,0.6643356643356644,False,GRAY
DNA_Damage_Repair,bulk,-0.8475432794101966,-0.29696969696969694,0.7972027972027972,0.041666666666666664,10,0.8291708291708292,False,NO_GO
Steroidogenesis,bulk,0.14199372803622284,-0.19999999999999998,0.3986013986013986,0.041666666666666664,10,0.6643356643356644,False,GRAY
ECM_Cell_Adhesion,bulk,0.41710853341359083,-0.04242424242424241,0.3156843156843157,0.041666666666666664,10,0.6643356643356644,False,GRAY
Heat_Shock_Chaperone,bulk,-0.7266663295509493,0.07878787878787878,0.7782217782217782,0.041666666666666664,10,0.8291708291708292,False,NO_GO
Apoptosis_Survival,bulk,0.25130889747563323,-0.06666666666666665,0.36563436563436563,0.041666666666666664,10,0.6643356643356644,False,GRAY
